timestamp,power_kW,machine_state,anomaly_label,anomaly_type
2026-01-01 00:00:00,30.043,idle_or_offshift,0,normal
2026-01-01 01:00:00,27.197,idle_or_offshift,0,normal
2026-01-01 02:00:00,29.059,idle_or_offshift,0,normal
2026-01-01 03:00:00,30.562,idle_or_offshift,0,normal
2026-01-01 04:00:00,29.044,idle_or_offshift,0,normal
2026-01-01 05:00:00,30.867,idle_or_offshift,0,normal
2026-01-01 06:00:00,30.998,idle_or_offshift,0,normal
2026-01-01 07:00:00,27.705,idle_or_offshift,0,normal
2026-01-01 08:00:00,40.296,production,0,normal
2026-01-01 09:00:00,38.909,production,0,normal
2026-01-01 10:00:00,35.874,production,0,normal
2026-01-01 11:00:00,35.726,production,0,normal
2026-01-01 12:00:00,35.91,production,0,normal
2026-01-01 13:00:00,33.494,production,0,normal
2026-01-01 14:00:00,32.563,production,0,normal
2026-01-01 15:00:00,29.556,production,0,normal
2026-01-01 16:00:00,32.534,production,0,normal
2026-01-01 17:00:00,31.359,production,0,normal
2026-01-01 18:00:00,31.494,production,0,normal
2026-01-01 19:00:00,20.389,idle_or_offshift,0,normal
2026-01-01 20:00:00,26.507,idle_or_offshift,0,normal
2026-01-01 21:00:00,24.449,idle_or_offshift,0,normal
2026-01-01 22:00:00,24.303,idle_or_offshift,0,normal
2026-01-01 23:00:00,29.617,idle_or_offshift,0,normal
2026-01-02 00:00:00,26.918,idle_or_offshift,0,normal
2026-01-02 01:00:00,25.424,idle_or_offshift,0,normal
2026-01-02 02:00:00,28.271,idle_or_offshift,0,normal
2026-01-02 03:00:00,25.709,idle_or_offshift,0,normal
2026-01-02 04:00:00,32.353,idle_or_offshift,0,normal
2026-01-02 05:00:00,30.114,idle_or_offshift,0,normal
2026-01-02 06:00:00,29.663,idle_or_offshift,0,normal
2026-01-02 07:00:00,32.794,idle_or_offshift,0,normal
2026-01-02 08:00:00,35.492,production,0,normal
2026-01-02 09:00:00,38.792,production,0,normal
2026-01-02 10:00:00,33.284,production,0,normal
2026-01-02 11:00:00,34.843,production,0,normal
2026-01-02 12:00:00,32.832,production,0,normal
2026-01-02 13:00:00,36.596,production,0,normal
2026-01-02 14:00:00,36.179,production,0,normal
2026-01-02 15:00:00,31.579,production,0,normal
2026-01-02 16:00:00,33.049,production,0,normal
2026-01-02 17:00:00,30.812,production,0,normal
2026-01-02 18:00:00,32.023,production,0,normal
2026-01-02 19:00:00,21.781,idle_or_offshift,0,normal
2026-01-02 20:00:00,20.461,idle_or_offshift,0,normal
2026-01-02 21:00:00,20.926,idle_or_offshift,0,normal
2026-01-02 22:00:00,25.69,idle_or_offshift,0,normal
2026-01-02 23:00:00,30.01,idle_or_offshift,0,normal
2026-01-03 00:00:00,20.485,idle_or_offshift,0,normal
2026-01-03 01:00:00,20.091,idle_or_offshift,0,normal
2026-01-03 02:00:00,25.442,idle_or_offshift,0,normal
2026-01-03 03:00:00,23.256,idle_or_offshift,0,normal
2026-01-03 04:00:00,23.647,idle_or_offshift,0,normal
2026-01-03 05:00:00,24.318,idle_or_offshift,0,normal
2026-01-03 06:00:00,23.762,idle_or_offshift,0,normal
2026-01-03 07:00:00,23.307,idle_or_offshift,0,normal
2026-01-03 08:00:00,28.881,idle_or_offshift,0,normal
2026-01-03 09:00:00,31.731,idle_or_offshift,0,normal
2026-01-03 10:00:00,29.829,idle_or_offshift,0,normal
2026-01-03 11:00:00,31.183,idle_or_offshift,0,normal
2026-01-03 12:00:00,27.336,idle_or_offshift,0,normal
2026-01-03 13:00:00,23.533,idle_or_offshift,0,normal
2026-01-03 14:00:00,25.821,idle_or_offshift,0,normal
2026-01-03 15:00:00,28.231,idle_or_offshift,0,normal
2026-01-03 16:00:00,23.846,idle_or_offshift,0,normal
2026-01-03 17:00:00,22.535,idle_or_offshift,0,normal
2026-01-03 18:00:00,21.852,idle_or_offshift,0,normal
2026-01-03 19:00:00,14.246,idle_or_offshift,0,normal
2026-01-03 20:00:00,15.996,idle_or_offshift,0,normal
2026-01-03 21:00:00,15.048,idle_or_offshift,0,normal
2026-01-03 22:00:00,20.696,idle_or_offshift,0,normal
2026-01-03 23:00:00,18.456,idle_or_offshift,0,normal
2026-01-04 00:00:00,20.196,idle_or_offshift,0,normal
2026-01-04 01:00:00,23.624,idle_or_offshift,0,normal
2026-01-04 02:00:00,24.706,idle_or_offshift,0,normal
2026-01-04 03:00:00,22.446,idle_or_offshift,0,normal
2026-01-04 04:00:00,24.062,idle_or_offshift,0,normal
2026-01-04 05:00:00,25.187,idle_or_offshift,0,normal
2026-01-04 06:00:00,23.653,idle_or_offshift,0,normal
2026-01-04 07:00:00,20.663,idle_or_offshift,0,normal
2026-01-04 08:00:00,32.643,idle_or_offshift,0,normal
2026-01-04 09:00:00,32.438,idle_or_offshift,0,normal
2026-01-04 10:00:00,30.748,idle_or_offshift,0,normal
2026-01-04 11:00:00,27.373,idle_or_offshift,0,normal
2026-01-04 12:00:00,27.647,idle_or_offshift,0,normal
2026-01-04 13:00:00,25.901,idle_or_offshift,0,normal
2026-01-04 14:00:00,25.461,idle_or_offshift,0,normal
2026-01-04 15:00:00,27.506,idle_or_offshift,0,normal
2026-01-04 16:00:00,27.289,idle_or_offshift,0,normal
2026-01-04 17:00:00,25.341,idle_or_offshift,0,normal
2026-01-04 18:00:00,24.988,idle_or_offshift,0,normal
2026-01-04 19:00:00,17.354,idle_or_offshift,0,normal
2026-01-04 20:00:00,16.514,idle_or_offshift,0,normal
2026-01-04 21:00:00,17.035,idle_or_offshift,0,normal
2026-01-04 22:00:00,16.787,idle_or_offshift,0,normal
2026-01-04 23:00:00,18.864,idle_or_offshift,0,normal
2026-01-05 00:00:00,31.068,idle_or_offshift,0,normal
2026-01-05 01:00:00,29.6,idle_or_offshift,0,normal
2026-01-05 02:00:00,28.384,idle_or_offshift,0,normal
2026-01-05 03:00:00,28.979,idle_or_offshift,0,normal
2026-01-05 04:00:00,28.908,idle_or_offshift,0,normal
2026-01-05 05:00:00,31.538,idle_or_offshift,0,normal
2026-01-05 06:00:00,31.705,idle_or_offshift,0,normal
2026-01-05 07:00:00,28.266,idle_or_offshift,0,normal
2026-01-05 08:00:00,39.34,production,0,normal
2026-01-05 09:00:00,36.803,production,0,normal
2026-01-05 10:00:00,39.568,production,0,normal
2026-01-05 11:00:00,36.318,production,0,normal
2026-01-05 12:00:00,38.092,production,0,normal
2026-01-05 13:00:00,33.14,production,0,normal
2026-01-05 14:00:00,32.482,production,0,normal
2026-01-05 15:00:00,32.711,production,0,normal
2026-01-05 16:00:00,33.437,production,0,normal
2026-01-05 17:00:00,32.155,production,0,normal
2026-01-05 18:00:00,28.78,production,0,normal
2026-01-05 19:00:00,23.466,idle_or_offshift,0,normal
2026-01-05 20:00:00,23.576,idle_or_offshift,0,normal
2026-01-05 21:00:00,23.399,idle_or_offshift,0,normal
2026-01-05 22:00:00,23.833,idle_or_offshift,0,normal
2026-01-05 23:00:00,29.11,idle_or_offshift,0,normal
2026-01-06 00:00:00,26.297,idle_or_offshift,0,normal
2026-01-06 01:00:00,26.513,idle_or_offshift,0,normal
2026-01-06 02:00:00,30.147,idle_or_offshift,0,normal
2026-01-06 03:00:00,30.064,idle_or_offshift,0,normal
2026-01-06 04:00:00,30.328,idle_or_offshift,0,normal
2026-01-06 05:00:00,32.27,idle_or_offshift,0,normal
2026-01-06 06:00:00,31.88,idle_or_offshift,0,normal
2026-01-06 07:00:00,31.516,idle_or_offshift,0,normal
2026-01-06 08:00:00,40.2,production,0,normal
2026-01-06 09:00:00,38.339,production,0,normal
2026-01-06 10:00:00,63.89,production,1,spike
2026-01-06 11:00:00,35.383,production,0,normal
2026-01-06 12:00:00,34.062,production,0,normal
2026-01-06 13:00:00,34.342,production,0,normal
2026-01-06 14:00:00,31.06,production,0,normal
2026-01-06 15:00:00,28.873,production,0,normal
2026-01-06 16:00:00,31.695,production,0,normal
2026-01-06 17:00:00,28.731,production,0,normal
